,joint_name,degrees_offset,variance
0,shoulder_yaw,0,0.00026731202106855865
1,shoulder_yaw,5,0.0002673119466526144
2,shoulder_yaw,10,0.0002673119698191357
3,shoulder_yaw,15,0.0002673120225474136
4,shoulder_yaw,20,0.00026731190462982933
5,shoulder_yaw,25,0.0002673117907111653
6,shoulder_yaw,30,0.0002673118829500936
7,shoulder_yaw,35,0.00026731190012423605
8,shoulder_yaw,40,0.000267311933445659
9,shoulder_yaw,45,0.00026731180058849914
10,shoulder_yaw,50,0.00026731183405615726
11,shoulder_yaw,55,0.0002673118979268858
12,shoulder_yaw,60,0.00026731182609144596
13,shoulder_yaw,65,0.00026731175258783006
14,shoulder_yaw,70,0.00026731175493927966
15,shoulder_yaw,75,0.000267311879962637
16,shoulder_yaw,80,0.0002673120147725674
17,shoulder_yaw,85,0.0002673118825113679
18,shoulder_yaw,90,0.0002673120338049209
19,shoulder_yaw,95,0.00026731183002993406
20,shoulder_yaw,100,0.000267311839832023
21,shoulder_yaw,105,0.00026731191400126243
22,shoulder_yaw,110,0.0002673118844597325
23,shoulder_yaw,115,0.0002673119267800107
24,shoulder_yaw,120,0.0002673118914448094
25,shoulder_yaw,125,0.0002673119445543149
26,shoulder_yaw,130,0.00026731197820776875
27,shoulder_yaw,135,0.00026731188944571424
28,shoulder_yaw,140,0.00026731194527195067
29,shoulder_yaw,145,0.0002673121125790232
30,shoulder_yaw,150,0.0002673118999835603
31,shoulder_yaw,155,0.0002673118942679669
32,shoulder_yaw,160,0.00026731185244667315
33,shoulder_yaw,165,0.00026731195523841143
34,shoulder_yaw,170,0.00026731184374183394
35,shoulder_yaw,175,0.00026731184050104225
36,shoulder_pitch,0,0.00026731202106855865
37,shoulder_pitch,5,0.0003448586295032977
38,shoulder_pitch,10,0.0005381577517384416
39,shoulder_pitch,15,0.0009040946461102258
40,shoulder_pitch,20,0.0015070508585928262
41,shoulder_pitch,25,0.002416371900780013
42,shoulder_pitch,30,0.003703595782636729
43,shoulder_pitch,35,0.005439520211776367
44,shoulder_pitch,40,0.007691223013335253
45,shoulder_pitch,45,0.010519098234506969
46,shoulder_pitch,50,0.013974059399638071
47,shoulder_pitch,55,0.018094932273760835
48,shoulder_pitch,60,0.022906195484512767
49,shoulder_pitch,65,0.028416088211835385
50,shoulder_pitch,70,0.034615189535080755
51,shoulder_pitch,75,0.041475499588542825
52,shoulder_pitch,80,0.04895007331395061
53,shoulder_pitch,85,0.05697321022614563
54,shoulder_pitch,90,0.06546123238825027
55,shoulder_pitch,95,0.0743138006557739
56,shoulder_pitch,100,0.0834157703763497
57,shoulder_pitch,105,0.09263951080139701
58,shoulder_pitch,110,0.10184765573725267
59,shoulder_pitch,115,0.11089619644147776
60,shoulder_pitch,120,0.11963781041927467
61,shoulder_pitch,125,0.12792536545370817
62,shoulder_pitch,130,0.13561550992394966
