,joint_name,degrees_offset,variance,end_effector_accuracy,end_effector_precision
0,all,0,0.00026731202106855865,0.0,0.0
1,all,5,0.002376385063585773,0.20347549564897954,0.0009637590565717377
2,all,10,0.00903964632867146,0.39727671571655465,0.0037654453361530707
3,all,15,0.020814270372037348,0.5779839294262549,0.00826238802649907
4,all,20,0.03764930306277442,0.7427333650246425,0.01430768580777313
5,all,25,0.058937317659823955,0.8893204513180095,0.021745051996912127
6,all,30,0.08370581170915796,1.016277398868626,0.03039050699691881
7,all,35,0.110866627247801,1.1229231012588976,0.04000573829857954
8,all,40,0.13943035258737213,1.2093844760349908,0.050267794008038415
9,all,45,0.16861789028034255,1.2765890010112368,0.06073889406979223
10,all,50,0.19785028315164543,1.3262277798286168,0.07084006756365778
11,all,55,0.22664943112257968,1.3606862215728326,0.07983521999358109
12,all,60,0.2545149684270742,1.3829347118951778,0.08684002436043896
13,all,65,0.28084476036554495,1.396365323830135,0.0908815890102932
14,all,70,0.30493968358460244,1.4045576744265587,0.09104075731086132
15,all,75,0.32609160771856033,1.4109683750621544,0.08668912184356661
16,all,80,0.34371546427814104,1.4185739162993336,0.07777254153477052
17,all,85,0.3574688708078284,1.4295456108023261,0.0650180947136844
18,all,90,0.3673107487455906,1.4450574659181863,0.0499244056637912
19,all,95,0.37347940765347826,1.4652871559563665,0.034486184192688125
20,all,100,0.37640507913495064,1.4895839853229749,0.02075347089953548
21,all,105,0.3765967290942269,1.5167140591972261,0.010409501718312078
22,all,110,0.37454772590788565,1.5450968609511353,0.004501613812669582
23,all,115,0.3706893086908622,1.5729929906077704,0.003348282096873171
24,all,120,0.365393842674059,1.5986405618688544,0.006576378672228397
25,all,125,0.3590052152613496,1.6203512656047072,0.0132384095090876
26,all,130,0.3518636622872932,1.6365772447559108,0.02198098172423535
27,all,135,0.3442994746571514,1.6459579998322016,0.031249360049023282
28,all,140,0.3365914376000244,1.6473555152240433,0.03951216054462519
29,all,145,0.32890866755260423,1.639884718626444,0.04548279599075992
30,all,150,0.32126786394643825,1.6229446094932347,0.04830826641128986
31,all,155,0.31353421025966743,1.5962530601684342,0.04769588322656242
32,all,160,0.30547581830704434,1.5598856354633874,0.04395652382889327
33,all,165,0.2968566093610832,1.514316238467296,0.0379574652182812
34,all,170,0.2875335535918234,1.4604562183791399,0.030992327480795893
35,all,175,0.2775198772250205,1.3996902885280746,0.024582705520888065
36,all,180,0.2669895449130587,1.333912186047724,0.02022458225679721
37,all,185,0.2562221198705876,1.265567443889936,0.01909023844381916
38,all,190,0.24551250135120067,1.1977081141128663,0.021704585660965454
39,all,195,0.23508361879283202,1.134042058299249,0.027645219485554852
40,all,200,0.22503757759831422,1.078896817513054,0.035382412035328784
41,all,205,0.21536303393432432,1.0369056427565964,0.04248376827572082
42,all,210,0.2059921058223446,1.0121712458681582,0.046437859387144724
43,all,215,0.19688002240328462,1.0070291697935214,0.04590270088828777
44,all,220,0.1880729251507024,1.0212937696382802,0.04136103953450969
45,all,225,0.17973664025665115,1.052730311932141,0.03451179633839113
46,all,230,0.17213621458814932,1.0982264185829331,0.027180530275863878
47,all,235,0.16557521354284405,1.154713975770498,0.020700538289543408
48,all,240,0.1603161611441039,1.2195450408491912,0.015829330740017945
49,all,245,0.1565051288699842,1.2904855672010473,0.012894306947364318
50,all,250,0.1541165076452739,1.3655327826690888,0.011976583570826918
51,all,255,0.15292376925116027,1.4426946263445566,0.013061143998004777
52,all,260,0.15249536495811583,1.5198133967008183,0.016118231568838234
53,all,265,0.15221449797736575,1.5944727568829755,0.021098030159801766
54,all,270,0.15132637867264295,1.6639920044524263,0.0278527029888007
55,all,275,0.14901944701990447,1.7254884265597499,0.03603555306822463
56,all,280,0.14454380350802648,1.7759814608697961,0.045039347247448965
57,all,285,0.13735665426052623,1.8125170601740381,0.054015829253339136
58,all,290,0.12726620079336787,1.8322987776461188,0.061980870124095214
59,all,295,0.11453041797167685,1.8328179744260942,0.06797562049667435
60,all,300,0.09986602530386111,1.811977950614469,0.07123649907225221
61,all,305,0.08434141725692101,1.7682069029341718,0.07132827116706683
62,all,310,0.06916271218115044,1.7005539997126589,0.0682099043867132
63,all,315,0.05540292102256957,1.608762626255617,0.062224287551439585
64,all,320,0.04375383577200791,1.4933154569696827,0.05402260856647176
65,all,325,0.034384375073532265,1.3554474411824962,0.04444719852946612
66,all,330,0.026961454464355335,1.197124766279278,0.0344012927069028
67,all,335,0.020837483836267642,1.0209900307152713,0.02473146442851283
68,all,340,0.015349518678214656,0.8302759241396127,0.016140943868565107
69,all,345,0.010132016990375074,0.6286914831849961,0.009142443112905683
70,all,350,0.005335269126176174,0.4202863785944784,0.004049872939591627
71,all,355,0.0016712061405125434,0.20929966560232996,0.0010011432611625622
72,all,360,0.00026731202106855865,7.657539081951462e-16,1.4546994903803269e-31
