,joint_name,degrees_offset,variance,end_effector_accuracy,end_effector_precision
0,all,0,0.00026731202106855865,0.0,0.0
1,all,5,0.002376385063585773,0.20347549564897954,0.0009637590565717377
2,all,10,0.00903964632867146,0.39727671571655465,0.0037654453361530707
3,all,15,0.020814270372037348,0.5779839294262549,0.00826238802649907
4,all,20,0.03764930306277442,0.7427333650246425,0.01430768580777313
5,all,25,0.058937317659823955,0.8893204513180095,0.021745051996912127
6,all,30,0.08370581170915796,1.016277398868626,0.03039050699691881
7,all,35,0.110866627247801,1.1229231012588976,0.04000573829857954
8,all,40,0.13943035258737213,1.2093844760349908,0.050267794008038415
9,all,45,0.16861789028034255,1.2765890010112368,0.06073889406979223
10,all,50,0.19785028315164543,1.3262277798286168,0.07084006756365778
11,all,55,0.22664943112257968,1.3606862215728326,0.07983521999358109
12,all,60,0.2545149684270742,1.3829347118951778,0.08684002436043896
13,all,65,0.28084476036554495,1.396365323830135,0.0908815890102932
14,all,70,0.30493968358460244,1.4045576744265587,0.09104075731086132
15,all,75,0.32609160771856033,1.4109683750621544,0.08668912184356661
16,all,80,0.34371546427814104,1.4185739162993336,0.07777254153477052
17,all,85,0.3574688708078284,1.4295456108023261,0.0650180947136844
18,all,90,0.3673107487455906,1.4450574659181863,0.0499244056637912
19,all,95,0.37347940765347826,1.4652871559563665,0.034486184192688125
20,all,100,0.37640507913495064,1.4895839853229749,0.02075347089953548
21,all,105,0.3765967290942269,1.5167140591972261,0.010409501718312078
22,all,110,0.37454772590788565,1.5450968609511353,0.004501613812669582
23,all,115,0.3706893086908622,1.5729929906077704,0.003348282096873171
24,all,120,0.365393842674059,1.5986405618688544,0.006576378672228397
25,all,125,0.3590052152613496,1.6203512656047072,0.0132384095090876
26,all,130,0.3518636622872932,1.6365772447559108,0.02198098172423535
27,all,135,0.3442994746571514,1.6459579998322016,0.031249360049023282
28,all,140,0.3365914376000244,1.6473555152240433,0.03951216054462519
29,all,145,0.32890866755260423,1.639884718626444,0.04548279599075992
30,all,150,0.32126786394643825,1.6229446094932347,0.04830826641128986
31,all,155,0.31353421025966743,1.5962530601684342,0.04769588322656242
32,all,160,0.30547581830704434,1.5598856354633874,0.04395652382889327
33,all,165,0.2968566093610832,1.514316238467296,0.0379574652182812
34,all,170,0.2875335535918234,1.4604562183791399,0.030992327480795893
35,all,175,0.2775198772250205,1.3996902885280746,0.024582705520888065
