,joint_name,degrees_offset,variance,end_effector_accuracy,end_effector_precision
0,shoulder_yaw,0,0.00026731202106855865,0.0,0.0
1,shoulder_yaw,5,0.0002673119466526144,0.11947619712711259,0.00028660052107410116
2,shoulder_yaw,10,0.0002673119698191357,0.23872496452241054,0.001144220881276904
3,shoulder_yaw,15,0.0002673120225474136,0.35751930537950005,0.00256633407182193
4,shoulder_yaw,20,0.00026731190462982933,0.47563308791873077,0.00454211695263371
5,shoulder_yaw,25,0.0002673117907111653,0.5928414758418906,0.007056532622978947
6,shoulder_yaw,30,0.0002673118829500936,0.7089213563208787,0.01009044486136062
7,shoulder_yaw,35,0.00026731190012423605,0.8236517647056544,0.013620763763718357
8,shoulder_yaw,40,0.000267311933445659,0.9368143051430065,0.01762062147154036
9,shoulder_yaw,45,0.00026731180058849914,1.0481935663054747,0.022059576652490018
10,shoulder_yaw,50,0.00026731183405615726,1.1575775314390528,0.02690384617732585
11,shoulder_yaw,55,0.0002673118979268858,1.2647579819491304,0.03211656222991395
12,shoulder_yaw,60,0.00026731182609144596,1.3695308937564237,0.037658052893570125
13,shoulder_yaw,65,0.00026731175258783006,1.4716968256684042,0.04348614407830041
14,shoulder_yaw,70,0.00026731175493927966,1.5710612990269455,0.04955648049109131
15,shoulder_yaw,75,0.000267311879962637,1.6674351679095019,0.05582286320647217
16,shoulder_yaw,80,0.0002673120147725674,1.7606349791791227,0.06223760126823363
17,shoulder_yaw,85,0.0002673118825113679,1.8504833216979262,0.06875187464640085
18,shoulder_yaw,90,0.0002673120338049209,1.9368091640392808,0.07531610578714022
19,shoulder_yaw,95,0.00026731183002993406,2.01944818005585,0.08188033692787967
20,shoulder_yaw,100,0.000267311839832023,2.0982430616837515,0.0883946103060469
21,shoulder_yaw,105,0.00026731191400126243,2.173043818387399,0.09480934836780833
22,shoulder_yaw,110,0.0002673118844597325,2.243708062675009,0.10107573108318918
23,shoulder_yaw,115,0.0002673119267800107,2.310101281141288,0.10714606749598012
24,shoulder_yaw,120,0.0002673118914448094,2.3720970905213394,0.1129741586807103
25,shoulder_yaw,125,0.0002673119445543149,2.4295774782684,0.11851564934436655
26,shoulder_yaw,130,0.00026731197820776875,2.4824330271974193,0.12372836539695466
27,shoulder_yaw,135,0.00026731188944571424,2.5305631237668984,0.12857263492179052
28,shoulder_yaw,140,0.00026731194527195067,2.5738761496024827,0.13301159010274013
29,shoulder_yaw,145,0.0002673121125790232,2.6122896558977406,0.13701144781056213
30,shoulder_yaw,150,0.0002673118999835603,2.6457305203601598,0.14054176671291993
31,shoulder_yaw,155,0.0002673118942679669,2.67413508640358,0.14357567895130155
32,shoulder_yaw,160,0.00026731185244667315,2.69744928432213,0.14609009462164677
33,shoulder_yaw,165,0.00026731195523841143,2.715628734214976,0.14806587750245856
34,shoulder_yaw,170,0.00026731184374183394,2.728638830465998,0.14948799069300356
35,shoulder_yaw,175,0.00026731184050104225,2.736454807617535,0.15034561105320643
36,shoulder_pitch,0,0.00026731202106855865,0.0,0.0
37,shoulder_pitch,5,0.0003448586295032977,0.1097995911665139,0.00027374252370688547
38,shoulder_pitch,10,0.0005381577517384416,0.21939017257064156,0.001092886748931876
39,shoulder_pitch,15,0.0009040946461102258,0.3285631323119587,0.002451198493508205
40,shoulder_pitch,20,0.0015070508585928262,0.43711065345661243,0.004338340184888593
41,shoulder_pitch,25,0.002416371900780013,0.544826109628666,0.006739949535314329
42,shoulder_pitch,30,0.003703595782636729,0.6515044583351497,0.009637748847497284
43,shoulder_pitch,35,0.005439520211776367,0.7569426312760996,0.013009684118932701
44,shoulder_pitch,40,0.007691223013335253,0.860939920896609,0.016830092886174756
45,shoulder_pitch,45,0.010519098234506969,0.9632983624450652,0.02106989953167887
46,shoulder_pitch,50,0.013974059399638071,1.0638231108103076,0.025696836566807487
47,shoulder_pitch,55,0.018094932273760835,1.1623228114203694,0.03067569020690234
48,shoulder_pitch,60,0.022906195484512767,1.2586099644967828,0.035968568369448256
49,shoulder_pitch,65,0.028416088211835385,1.3525012819710622,0.04153518905570104
50,shoulder_pitch,70,0.034615189535080755,1.4438180363839626,0.0473331869210209
51,shoulder_pitch,75,0.041475499588542825,1.532386401103353,0.053318435700725864
52,shoulder_pitch,80,0.04895007331395061,1.618037781213094,0.05944538403761034
53,shoulder_pitch,85,0.05697321022614563,1.7006091344430403,0.06566740215527812
54,shoulder_pitch,90,0.06546123238825027,1.7799432815292695,0.07193713673889648
55,shoulder_pitch,95,0.0743138006557739,1.8558892054137452,0.07820687132251486
56,shoulder_pitch,100,0.0834157703763497,1.928302338713869,0.08442888944018263
57,shoulder_pitch,105,0.09263951080139701,1.997044838914711,0.09055583777706715
58,shoulder_pitch,110,0.10184765573725267,2.0619858507600695,0.0965410865567721
59,shoulder_pitch,115,0.11089619644147776,2.123001755342892,0.10233908442209193
60,shoulder_pitch,120,0.11963781041927467,2.1799764054208883,0.10790570510834473
61,shoulder_pitch,125,0.12792536545370817,2.2328013465094063,0.11319858327089068
62,shoulder_pitch,130,0.13561550992394966,2.281376023330711,0.1181774369109855
63,shoulder_pitch,135,0.1425721739196469,2.3256079712266695,0.12280437394611414
64,shoulder_pitch,140,0.148669992266397,2.365412992170482,0.12704418059161823
65,shoulder_pitch,145,0.15379742371280086,2.400715315042411,0.1308645893588603
66,shoulder_pitch,150,0.15785960540363386,2.431447739864419,0.13423652463029567
67,shoulder_pitch,155,0.1607807754895288,2.4575517657191397,0.13713432394247865
68,shoulder_pitch,160,0.16250619124399157,2.478977702109703,0.13953593329290437
69,shoulder_pitch,165,0.16300352790411402,2.4956847635484176,0.14142307498428477
70,shoulder_pitch,170,0.16226374303027355,2.5076411471942697,0.1427813867288611
71,shoulder_pitch,175,0.1603012816270142,2.5148240933914314,0.1436005309540861
72,forearm_pitch,0,0.00026731202106855865,0.0,0.0
73,forearm_pitch,5,0.0008406612817435777,0.05549644456307913,4.9899948315620174e-05
74,forearm_pitch,10,0.002275693854317965,0.11088724848972074,0.00019922002452538612
75,forearm_pitch,15,0.004598456379319459,0.16606697223644298,0.00044682381268741547
76,forearm_pitch,20,0.007823674911784106,0.2209305780628835,0.0007908268984665401
77,forearm_pitch,25,0.011953648485701188,0.2753736299771082,0.001228611210665238
78,forearm_pitch,30,0.0169774273342886,0.32929249253545734,0.001756844946326279
79,forearm_pitch,35,0.022870266493795446,0.38258452811850363,0.0023715079277650394
80,forearm_pitch,40,0.029593402983134176,0.43514829230759317,0.0030679221985491136
81,forearm_pitch,45,0.037094176890729184,0.48688372699006305,0.003840787625571392
82,forearm_pitch,50,0.0453064614962443,0.5376923508255453,0.004684222236263339
83,forearm_pitch,55,0.05415145831364373,0.5874774467107959,0.005591806983957845
84,forearm_pitch,60,0.06353877285189498,0.6361442458861971,0.006556634600710304
85,forearm_pitch,65,0.07336782364603403,0.6836001083334784,0.007571362165778376
86,forearm_pitch,70,0.08352947777327152,0.729754699121257,0.008628266989682649
87,forearm_pitch,75,0.09390793123421542,0.7745201603627125,0.00971930538853663
88,forearm_pitch,80,0.10438276544170114,0.8178112784580694,0.010836173901338035
89,forearm_pitch,85,0.1148311030415685,0.8595456463035271,0.011970372484320804
90,forearm_pitch,90,0.1251298754708053,0.8996438201578648,0.01311326920142061
91,forearm_pitch,95,0.1351580711839487,0.9380294708681203,0.014256165918520407
92,forearm_pitch,100,0.14479895679832744,0.9746295291664681,0.015390364501503174
93,forearm_pitch,105,0.15394219019274677,1.0093743247617264,0.016507233014304585
