,param_noise,measurement_noise,accuracy,precision,output_variance
0,1e-06,0.0,0.012454954398521801,1.0570919108876307e-05,0.00023788800198604144
1,1e-06,0.09999999999999999,1.9533024760208316e-06,2.391221073344411e-13,0.03377654360629639
2,1e-06,0.19999999999999998,0.35928078775874545,0.008606403063495251,0.16954501293801122
3,1e-06,0.3,2.770837258904093e-06,6.875090167561485e-13,0.45504611575343995
4,0.20000066666666666,0.0,0.5301095392292939,0.020154809170551586,0.4346227631590327
5,0.20000066666666666,0.09999999999999999,0.6368752219442255,0.026093299692321145,0.4471221610145991
6,0.20000066666666666,0.19999999999999998,0.810372540335749,0.04319951480046041,0.5754526902959389
7,0.20000066666666666,0.3,0.9105406460570388,0.0494811858020394,0.6942227138305695
8,0.4000003333333333,0.0,0.9104389084247665,0.04946019733864539,0.6942226551732055
9,0.4000003333333333,0.09999999999999999,1.0622687873728511,0.06809125862392286,0.7187904454895817
10,0.4000003333333333,0.19999999999999998,0.9808266241572273,0.05838353136393119,0.8164500428879662
11,0.4000003333333333,0.3,0.8532041236696791,0.04477970265757461,1.2212817945902628
12,0.6,0.0,0.8558898223012522,0.04496595441742269,1.2212795932142997
13,0.6,0.09999999999999999,0.7976940223745559,0.03884940718013462,1.2650457743031793
14,0.6,0.19999999999999998,0.6991295129168933,0.029558237578665762,1.4490286581509446
15,0.6,0.3,0.4074511827954033,0.01993765716405476,1.6688434695457794
